Date,open,high,low,close,volume,dividends,stock splits,code
1986-12-31,2568.3,2568.3,2568.3,2568.3,0,0,0,^HSI
1987-01-02,2540.1,2540.1,2540.1,2540.1,0,0,0,^HSI
1987-01-05,2552.4,2552.4,2552.4,2552.4,0,0,0,^HSI
1987-01-06,2583.9,2583.9,2583.9,2583.9,0,0,0,^HSI
1987-01-07,2607.1,2607.1,2607.1,2607.1,0,0,0,^HSI
1987-01-08,2603.3,2603.3,2603.3,2603.3,0,0,0,^HSI
1987-01-09,2561.7,2561.7,2561.7,2561.7,0,0,0,^HSI
1987-01-12,2614.9,2614.9,2614.9,2614.9,0,0,0,^HSI
1987-01-13,2590.8,2590.8,2590.8,2590.8,0,0,0,^HSI
1987-01-14,2578.2,2578.2,2578.2,2578.2,0,0,0,^HSI
1987-01-15,2559.1,2559.1,2559.1,2559.1,0,0,0,^HSI
1987-01-16,2542.6,2542.6,2542.6,2542.6,0,0,0,^HSI
1987-01-19,2460.5,2460.5,2460.5,2460.5,0,0,0,^HSI
1987-01-20,2449.9,2449.9,2449.9,2449.9,0,0,0,^HSI
1987-01-21,2533.9,2533.9,2533.9,2533.9,0,0,0,^HSI
1987-01-22,2536.9,2536.9,2536.9,2536.9,0,0,0,^HSI
1987-01-23,2499.4,2499.4,2499.4,2499.4,0,0,0,^HSI
1987-01-26,2484.4,2484.4,2484.4,2484.4,0,0,0,^HSI
1987-01-27,2524.0,2524.0,2524.0,2524.0,0,0,0,^HSI
1987-01-28,2553.3,2553.3,2553.3,2553.3,0,0,0,^HSI
1987-02-02,2585.2,2585.2,2585.2,2585.2,0,0,0,^HSI
1987-02-03,2606.4,2606.4,2606.4,2606.4,0,0,0,^HSI
1987-02-04,2636.6,2636.6,2636.6,2636.6,0,0,0,^HSI
1987-02-05,2672.4,2672.4,2672.4,2672.4,0,0,0,^HSI
1987-02-06,2673.6,2673.6,2673.6,2673.6,0,0,0,^HSI
1987-02-09,2713.7,2713.7,2713.7,2713.7,0,0,0,^HSI
1987-02-10,2694.9,2694.9,2694.9,2694.9,0,0,0,^HSI
1987-02-11,2739.5,2739.5,2739.5,2739.5,0,0,0,^HSI
1987-02-12,2754.7,2754.7,2754.7,2754.7,0,0,0,^HSI
1987-02-13,2740.5,2740.5,2740.5,2740.5,0,0,0,^HSI
1987-02-16,2766.1,2766.1,2766.1,2766.1,0,0,0,^HSI
1987-02-17,2792.1,2792.1,2792.1,2792.1,0,0,0,^HSI
1987-02-18,2801.5,2801.5,2801.5,2801.5,0,0,0,^HSI
1987-02-19,2775.8,2775.8,2775.8,2775.8,0,0,0,^HSI
1987-02-20,2827.4,2827.4,2827.4,2827.4,0,0,0,^HSI
1987-02-23,2879.0,2879.0,2879.0,2879.0,0,0,0,^HSI
1987-02-24,2848.2,2848.2,2848.2,2848.2,0,0,0,^HSI
1987-02-25,2873.6,2873.6,2873.6,2873.6,0,0,0,^HSI
1987-02-26,2843.6,2843.6,2843.6,2843.6,0,0,0,^HSI
1987-02-27,2877.9,2877.9,2877.9,2877.9,0,0,0,^HSI
1987-03-02,2894.3,2894.3,2894.3,2894.3,0,0,0,^HSI
1987-03-03,2939.1,2939.1,2939.1,2939.1,0,0,0,^HSI
1987-03-04,2890.9,2890.9,2890.9,2890.9,0,0,0,^HSI
1987-03-05,2798.4,2798.4,2798.4,2798.4,0,0,0,^HSI
1987-03-06,2798.6,2798.6,2798.6,2798.6,0,0,0,^HSI
1987-03-09,2820.4,2820.4,2820.4,2820.4,0,0,0,^HSI
1987-03-10,2731.1,2731.1,2731.1,2731.1,0,0,0,^HSI
1987-03-11,2760.9,2760.9,2760.9,2760.9,0,0,0,^HSI
1987-03-12,2750.1,2750.1,2750.1,2750.1,0,0,0,^HSI
1987-03-13,2721.2,2721.2,2721.2,2721.2,0,0,0,^HSI
1987-03-16,2669.6,2669.6,2669.6,2669.6,0,0,0,^HSI
1987-03-17,2629.3,2629.3,2629.3,2629.3,0,0,0,^HSI
1987-03-18,2724.0,2724.0,2724.0,2724.0,0,0,0,^HSI
1987-03-19,2721.3,2721.3,2721.3,2721.3,0,0,0,^HSI
1987-03-20,2780.6,2780.6,2780.6,2780.6,0,0,0,^HSI
1987-03-23,2813.4,2813.4,2813.4,2813.4,0,0,0,^HSI
1987-03-24,2828.1,2828.1,2828.1,2828.1,0,0,0,^HSI
1987-03-25,2831.5,2831.5,2831.5,2831.5,0,0,0,^HSI
1987-03-26,2783.1,2783.1,2783.1,2783.1,0,0,0,^HSI
1987-03-27,2798.7,2798.7,2798.7,2798.7,0,0,0,^HSI
1987-03-30,2774.9,2774.9,2774.9,2774.9,0,0,0,^HSI
1987-03-31,2713.8,2713.8,2713.8,2713.8,0,0,0,^HSI
1987-04-01,2695.9,2695.9,2695.9,2695.9,0,0,0,^HSI
1987-04-02,2709.4,2709.4,2709.4,2709.4,0,0,0,^HSI
1987-04-03,2680.0,2680.0,2680.0,2680.0,0,0,0,^HSI
1987-04-07,2664.7,2664.7,2664.7,2664.7,0,0,0,^HSI
1987-04-08,2729.6,2729.6,2729.6,2729.6,0,0,0,^HSI
1987-04-09,2785.5,2785.5,2785.5,2785.5,0,0,0,^HSI
1987-04-10,2766.4,2766.4,2766.4,2766.4,0,0,0,^HSI
1987-04-13,2708.9,2708.9,2708.9,2708.9,0,0,0,^HSI
1987-04-14,2668.4,2668.4,2668.4,2668.4,0,0,0,^HSI
1987-04-15,2693.6,2693.6,2693.6,2693.6,0,0,0,^HSI
1987-04-16,2721.1,2721.1,2721.1,2721.1,0,0,0,^HSI
1987-04-21,2713.4,2713.4,2713.4,2713.4,0,0,0,^HSI
1987-04-22,2716.9,2716.9,2716.9,2716.9,0,0,0,^HSI
1987-04-23,2719.9,2719.9,2719.9,2719.9,0,0,0,^HSI
1987-04-24,2707.6,2707.6,2707.6,2707.6,0,0,0,^HSI
1987-04-27,2636.5,2636.5,2636.5,2636.5,0,0,0,^HSI
1987-04-28,2617.1,2617.1,2617.1,2617.1,0,0,0,^HSI
1987-04-29,2589.5,2589.5,2589.5,2589.5,0,0,0,^HSI
1987-04-30,2659.9,2659.9,2659.9,2659.9,0,0,0,^HSI
1987-05-01,2685.4,2685.4,2685.4,2685.4,0,0,0,^HSI
1987-05-04,2695.8,2695.8,2695.8,2695.8,0,0,0,^HSI
1987-05-05,2713.8,2713.8,2713.8,2713.8,0,0,0,^HSI
1987-05-06,2792.9,2792.9,2792.9,2792.9,0,0,0,^HSI
1987-05-07,2785.6,2785.6,2785.6,2785.6,0,0,0,^HSI
1987-05-08,2805.1,2805.1,2805.1,2805.1,0,0,0,^HSI
1987-05-11,2846.9,2846.9,2846.9,2846.9,0,0,0,^HSI
1987-05-12,2853.4,2853.4,2853.4,2853.4,0,0,0,^HSI
1987-05-13,2833.5,2833.5,2833.5,2833.5,0,0,0,^HSI
1987-05-14,2853.9,2853.9,2853.9,2853.9,0,0,0,^HSI
1987-05-15,2872.2,2872.2,2872.2,2872.2,0,0,0,^HSI
1987-05-18,2875.4,2875.4,2875.4,2875.4,0,0,0,^HSI
1987-05-19,2881.5,2881.5,2881.5,2881.5,0,0,0,^HSI
1987-05-20,2887.3,2887.3,2887.3,2887.3,0,0,0,^HSI
1987-05-21,2871.0,2871.0,2871.0,2871.0,0,0,0,^HSI
1987-05-22,2897.6,2897.6,2897.6,2897.6,0,0,0,^HSI
1987-05-25,2897.6,2897.6,2897.6,2897.6,0,0,0,^HSI
1987-05-26,2935.9,2935.9,2935.9,2935.9,0,0,0,^HSI
1987-05-27,2941.6,2941.6,2941.6,2941.6,0,0,0,^HSI
1987-05-28,2950.8,2950.8,2950.8,2950.8,0,0,0,^HSI
1987-05-29,2950.8,2950.8,2950.8,2950.8,0,0,0,^HSI
1987-06-02,2934.1,2934.1,2934.1,2934.1,0,0,0,^HSI
1987-06-03,2963.0,2963.0,2963.0,2963.0,0,0,0,^HSI
1987-06-04,3023.6,3023.6,3023.6,3023.6,0,0,0,^HSI
1987-06-05,3064.3,3064.3,3064.3,3064.3,0,0,0,^HSI
1987-06-08,3068.0,3068.0,3068.0,3068.0,0,0,0,^HSI
1987-06-09,3108.6,3108.6,3108.6,3108.6,0,0,0,^HSI
1987-06-10,3097.3,3097.3,3097.3,3097.3,0,0,0,^HSI
1987-06-11,3087.5,3087.5,3087.5,3087.5,0,0,0,^HSI
1987-06-12,3129.9,3129.9,3129.9,3129.9,0,0,0,^HSI
1987-06-16,3170.9,3170.9,3170.9,3170.9,0,0,0,^HSI
1987-06-17,3178.6,3178.6,3178.6,3178.6,0,0,0,^HSI
1987-06-18,3133.7,3133.7,3133.7,3133.7,0,0,0,^HSI
1987-06-19,3165.6,3165.6,3165.6,3165.6,0,0,0,^HSI
1987-06-22,3131.2,3131.2,3131.2,3131.2,0,0,0,^HSI
1987-06-23,3110.4,3110.4,3110.4,3110.4,0,0,0,^HSI
1987-06-24,3179.0,3179.0,3179.0,3179.0,0,0,0,^HSI
1987-06-25,3136.3,3136.3,3136.3,3136.3,0,0,0,^HSI
1987-06-26,3138.7,3138.7,3138.7,3138.7,0,0,0,^HSI
1987-06-29,3152.0,3152.0,3152.0,3152.0,0,0,0,^HSI
1987-06-30,3178.2,3178.2,3178.2,3178.2,0,0,0,^HSI
1987-07-01,3164.0,3164.0,3164.0,3164.0,0,0,0,^HSI
1987-07-02,3229.2,3229.2,3229.2,3229.2,0,0,0,^HSI
1987-07-03,3226.0,3226.0,3226.0,3226.0,0,0,0,^HSI
1987-07-06,3220.7,3220.7,3220.7,3220.7,0,0,0,^HSI
1987-07-07,3236.4,3236.4,3236.4,3236.4,0,0,0,^HSI
1987-07-08,3251.4,3251.4,3251.4,3251.4,0,0,0,^HSI
1987-07-09,3226.0,3226.0,3226.0,3226.0,0,0,0,^HSI
1987-07-10,3207.2,3207.2,3207.2,3207.2,0,0,0,^HSI
1987-07-13,3216.1,3216.1,3216.1,3216.1,0,0,0,^HSI
1987-07-14,3253.4,3253.4,3253.4,3253.4,0,0,0,^HSI
1987-07-15,3262.3,3262.3,3262.3,3262.3,0,0,0,^HSI
1987-07-16,3305.8,3305.8,3305.8,3305.8,0,0,0,^HSI
1987-07-17,3342.1,3342.1,3342.1,3342.1,0,0,0,^HSI
1987-07-20,3386.1,3386.1,3386.1,3386.1,0,0,0,^HSI
1987-07-21,3353.8,3353.8,3353.8,3353.8,0,0,0,^HSI
1987-07-22,3380.4,3380.4,3380.4,3380.4,0,0,0,^HSI
1987-07-23,3366.8,3366.8,3366.8,3366.8,0,0,0,^HSI
1987-07-24,3343.6,3343.6,3343.6,3343.6,0,0,0,^HSI
1987-07-27,3346.9,3346.9,3346.9,3346.9,0,0,0,^HSI
1987-07-28,3337.5,3337.5,3337.5,3337.5,0,0,0,^HSI
1987-07-29,3389.7,3389.7,3389.7,3389.7,0,0,0,^HSI
1987-07-30,3419.3,3419.3,3419.3,3419.3,0,0,0,^HSI
1987-07-31,3479.2,3479.2,3479.2,3479.2,0,0,0,^HSI
1987-08-03,3514.3,3514.3,3514.3,3514.3,0,0,0,^HSI
1987-08-04,3531.9,3531.9,3531.9,3531.9,0,0,0,^HSI
1987-08-05,3517.1,3517.1,3517.1,3517.1,0,0,0,^HSI
1987-08-06,3498.0,3498.0,3498.0,3498.0,0,0,0,^HSI
1987-08-07,3536.2,3536.2,3536.2,3536.2,0,0,0,^HSI
1987-08-10,3543.8,3543.8,3543.8,3543.8,0,0,0,^HSI
1987-08-11,3546.5,3546.5,3546.5,3546.5,0,0,0,^HSI
1987-08-12,3557.4,3557.4,3557.4,3557.4,0,0,0,^HSI
1987-08-13,3514.3,3514.3,3514.3,3514.3,0,0,0,^HSI
1987-08-14,3512.2,3512.2,3512.2,3512.2,0,0,0,^HSI
1987-08-17,3510.7,3510.7,3510.7,3510.7,0,0,0,^HSI
1987-08-18,3504.9,3504.9,3504.9,3504.9,0,0,0,^HSI
1987-08-19,3450.6,3450.6,3450.6,3450.6,0,0,0,^HSI
1987-08-20,3408.0,3408.0,3408.0,3408.0,0,0,0,^HSI
1987-08-21,3446.6,3446.6,3446.6,3446.6,0,0,0,^HSI
1987-08-24,3391.3,3391.3,3391.3,3391.3,0,0,0,^HSI
1987-08-25,3447.3,3447.3,3447.3,3447.3,0,0,0,^HSI
1987-08-26,3526.3,3526.3,3526.3,3526.3,0,0,0,^HSI
1987-08-27,3583.3,3583.3,3583.3,3583.3,0,0,0,^HSI
1987-08-28,3611.7,3611.7,3611.7,3611.7,0,0,0,^HSI
1987-09-01,3644.3,3644.3,3644.3,3644.3,0,0,0,^HSI
1987-09-02,3635.9,3635.9,3635.9,3635.9,0,0,0,^HSI
1987-09-03,3654.0,3654.0,3654.0,3654.0,0,0,0,^HSI
1987-09-04,3654.5,3654.5,3654.5,3654.5,0,0,0,^HSI
1987-09-07,3646.3,3646.3,3646.3,3646.3,0,0,0,^HSI
1987-09-08,3601.5,3601.5,3601.5,3601.5,0,0,0,^HSI
