code,time_key,cumulative_cash_inflow,holding
HK_FUTURE.999010,2019-07-02 11:20:00,-28973.0,1
HK_FUTURE.999010,2019-07-02 12:00:00,29057.0,-1
HK_FUTURE.999010,2019-07-02 13:05:00,-28961.0,1
HK_FUTURE.999010,2019-07-02 13:07:00,29043.0,-1
HK_FUTURE.999010,2019-07-02 13:25:00,-28917.0,1
HK_FUTURE.999010,2019-07-02 13:28:00,29027.0,-1
HK_FUTURE.999010,2019-07-02 13:43:00,-28923.0,1
HK_FUTURE.999010,2019-07-02 13:50:00,29019.0,-1
HK_FUTURE.999010,2019-07-02 13:54:00,-28915.0,1
HK_FUTURE.999010,2019-07-02 13:56:00,29003.0,-1
HK_FUTURE.999010,2019-07-02 14:04:00,-28945.0,1
HK_FUTURE.999010,2019-07-02 14:24:00,29043.0,-1
HK_FUTURE.999010,2019-07-02 14:28:00,-28959.0,1
HK_FUTURE.999010,2019-07-02 14:39:00,29047.0,-1
HK_FUTURE.999010,2019-07-02 14:40:00,-28975.0,1
HK_FUTURE.999010,2019-07-02 14:47:00,29031.0,-1
HK_FUTURE.999010,2019-07-02 14:56:00,-28977.0,1
HK_FUTURE.999010,2019-07-02 15:01:00,29029.0,-1
HK_FUTURE.999010,2019-07-02 15:02:00,-28983.0,1
HK_FUTURE.999010,2019-07-02 15:05:00,28989.0,-1
HK_FUTURE.999010,2019-07-02 15:30:00,-28965.0,1
HK_FUTURE.999010,2019-07-02 15:32:00,28975.0,-1
HK_FUTURE.999010,2019-07-02 15:36:00,-28997.0,1
HK_FUTURE.999010,2019-07-02 15:42:00,28955.0,-1
HK_FUTURE.999010,2019-07-02 16:12:00,-28921.0,1
HK_FUTURE.999010,2019-07-02 16:17:00,28907.0,-1
HK_FUTURE.999010,2019-07-02 16:26:00,-28923.0,1
HK_FUTURE.999010,2019-07-02 16:30:00,28895.0,-1
HK_FUTURE.999010,2019-07-02 17:16:00,-28967.0,1
HK_FUTURE.999010,2019-07-02 17:35:00,28919.0,-1
HK_FUTURE.999010,2019-07-02 17:36:00,-28969.0,1
HK_FUTURE.999010,2019-07-02 17:42:00,28907.0,-1
HK_FUTURE.999010,2019-07-02 18:08:00,-28949.0,1
HK_FUTURE.999010,2019-07-02 18:32:00,28929.0,-1
HK_FUTURE.999010,2019-07-02 18:38:00,-28957.0,1
HK_FUTURE.999010,2019-07-02 18:46:00,28927.0,-1
HK_FUTURE.999010,2019-07-02 18:53:00,-28963.0,1
HK_FUTURE.999010,2019-07-02 18:58:00,28919.0,-1
HK_FUTURE.999010,2019-07-02 19:02:00,-28981.0,1
HK_FUTURE.999010,2019-07-02 19:14:00,28931.0,-1
HK_FUTURE.999010,2019-07-02 19:18:00,-28987.0,1
HK_FUTURE.999010,2019-07-02 19:21:00,28915.0,-1
HK_FUTURE.999010,2019-07-02 19:29:00,-28991.0,1
HK_FUTURE.999010,2019-07-02 19:35:00,28905.0,-1
HK_FUTURE.999010,2019-07-02 19:39:00,-29013.0,1
