pair_id,cash_inflow,order_time
1.0,42.0,2019-07-02 11:59:00
3.0,6.0,2019-07-02 13:04:00
5.0,-7.0,2019-07-02 13:06:00
7.0,22.0,2019-07-02 13:24:00
9.0,-8.0,2019-07-02 13:27:00
11.0,-3.0,2019-07-02 13:42:00
13.0,-4.0,2019-07-02 13:49:00
15.0,4.0,2019-07-02 13:53:00
17.0,-8.0,2019-07-02 13:55:00
19.0,-15.0,2019-07-02 14:03:00
21.0,20.0,2019-07-02 14:23:00
23.0,-7.0,2019-07-02 14:27:00
25.0,2.0,2019-07-02 14:38:00
27.0,-8.0,2019-07-02 14:39:00
29.0,-8.0,2019-07-02 14:46:00
31.0,-1.0,2019-07-02 14:55:00
33.0,-1.0,2019-07-02 15:00:00
35.0,-3.0,2019-07-02 15:01:00
37.0,-20.0,2019-07-02 15:04:00
39.0,9.0,2019-07-02 15:29:00
41.0,-7.0,2019-07-02 15:31:00
43.0,-16.0,2019-07-02 15:35:00
45.0,-10.0,2019-07-02 15:41:00
47.0,38.0,2019-07-02 16:11:00
49.0,-24.0,2019-07-02 16:16:00
51.0,-1.0,2019-07-02 16:25:00
53.0,-6.0,2019-07-02 16:29:00
55.0,-22.0,2019-07-02 16:30:00
57.0,12.0,2019-07-02 17:34:00
59.0,-1.0,2019-07-02 17:35:00
61.0,-6.0,2019-07-02 17:41:00
63.0,10.0,2019-07-02 18:07:00
65.0,11.0,2019-07-02 18:31:00
67.0,-4.0,2019-07-02 18:37:00
69.0,-1.0,2019-07-02 18:45:00
71.0,-3.0,2019-07-02 18:52:00
73.0,-4.0,2019-07-02 18:57:00
75.0,-9.0,2019-07-02 19:01:00
77.0,6.0,2019-07-02 19:13:00
79.0,-3.0,2019-07-02 19:17:00
81.0,-8.0,2019-07-02 19:20:00
83.0,-2.0,2019-07-02 19:28:00
85.0,-5.0,2019-07-02 19:34:00
87.0,-11.0,2019-07-02 19:38:00
89.0,-3.0,2019-07-02 19:46:00
91.0,-3.0,2019-07-02 19:51:00
93.0,1.0,2019-07-02 20:00:00
95.0,-7.0,2019-07-02 20:24:00
97.0,-7.0,2019-07-02 20:25:00
99.0,-4.0,2019-07-02 20:35:00
101.0,2.0,2019-07-02 20:44:00
103.0,6.0,2019-07-02 20:58:00
105.0,-9.0,2019-07-02 21:01:00
107.0,-7.0,2019-07-02 21:07:00
109.0,-2.0,2019-07-02 21:11:00
111.0,-3.0,2019-07-02 21:14:00
113.0,6.0,2019-07-02 21:29:00
115.0,-2.0,2019-07-02 21:40:00
117.0,-20.0,2019-07-02 21:44:00
119.0,11.0,2019-07-02 21:55:00
121.0,6.0,2019-07-02 22:09:00
123.0,-6.0,2019-07-02 22:17:00
125.0,-7.0,2019-07-02 22:24:00
127.0,-5.0,2019-07-02 22:27:00
129.0,12.0,2019-07-02 22:44:00
131.0,-15.0,2019-07-02 22:49:00
133.0,11.0,2019-07-02 23:09:00
135.0,15.0,2019-07-02 23:21:00
137.0,-7.0,2019-07-02 23:27:00
139.0,22.0,2019-07-02 23:45:00
141.0,2.0,2019-07-02 23:47:00
143.0,-10.0,2019-07-02 23:59:00
145.0,-10.0,2019-07-03 00:05:00
147.0,-5.0,2019-07-03 00:11:00
149.0,-5.0,2019-07-03 00:15:00
151.0,-6.0,2019-07-03 00:20:00
153.0,-7.0,2019-07-03 00:27:00
155.0,42.0,2019-07-03 00:49:00
157.0,-7.0,2019-07-03 00:57:00
159.0,-5.0,2019-07-03 01:02:00
161.0,3.0,2019-07-03 01:05:00
163.0,-8.0,2019-07-03 01:07:00
165.0,-12.0,2019-07-03 01:14:00
167.0,-8.0,2019-07-03 01:21:00
169.0,-2.0,2019-07-03 01:29:00
171.0,-14.0,2019-07-03 01:34:00
173.0,-1.0,2019-07-03 01:44:00
175.0,-8.0,2019-07-03 01:49:00
177.0,1.0,2019-07-03 01:57:00
179.0,2.0,2019-07-03 02:09:00
181.0,-6.0,2019-07-03 02:18:00
183.0,4.0,2019-07-03 02:33:00
185.0,-5.0,2019-07-03 02:39:00
187.0,1.0,2019-07-03 02:47:00
189.0,-4.0,2019-07-03 02:50:00
191.0,5.0,2019-07-03 02:55:00
193.0,-90.0,2019-07-03 09:31:00
195.0,-18.0,2019-07-03 09:37:00
197.0,12.0,2019-07-03 09:54:00
199.0,-22.0,2019-07-03 09:58:00
201.0,-16.0,2019-07-03 10:03:00
203.0,-41.0,2019-07-03 10:07:00
205.0,8.0,2019-07-03 10:15:00
207.0,-10.0,2019-07-03 10:17:00
209.0,-4.0,2019-07-03 10:26:00
211.0,32.0,2019-07-03 10:36:00
213.0,-7.0,2019-07-03 10:38:00
215.0,4.0,2019-07-03 10:51:00
217.0,-31.0,2019-07-03 10:56:00
219.0,-29.0,2019-07-03 11:02:00
221.0,16.0,2019-07-03 11:13:00
223.0,29.0,2019-07-03 11:30:00
225.0,15.0,2019-07-03 11:41:00
227.0,-14.0,2019-07-03 11:45:00
229.0,12.0,2019-07-03 11:59:00
231.0,7.0,2019-07-03 13:12:00
233.0,10.0,2019-07-03 13:23:00
235.0,8.0,2019-07-03 13:31:00
237.0,-16.0,2019-07-03 13:34:00
239.0,11.0,2019-07-03 13:52:00
241.0,-9.0,2019-07-03 13:53:00
243.0,-13.0,2019-07-03 14:00:00
245.0,-12.0,2019-07-03 14:05:00
247.0,-7.0,2019-07-03 14:16:00
249.0,-17.0,2019-07-03 14:23:00
251.0,0.0,2019-07-03 14:36:00
253.0,26.0,2019-07-03 14:56:00
255.0,-13.0,2019-07-03 14:58:00
257.0,0.0,2019-07-03 15:22:00
259.0,-11.0,2019-07-03 15:34:00
261.0,-3.0,2019-07-03 15:41:00
263.0,0.0,2019-07-03 15:54:00
265.0,35.0,2019-07-03 16:17:00
267.0,-7.0,2019-07-03 16:29:00
269.0,21.0,2019-07-03 17:30:00
271.0,13.0,2019-07-03 17:44:00
273.0,1.0,2019-07-03 17:45:00
275.0,4.0,2019-07-03 17:54:00
277.0,-4.0,2019-07-03 17:59:00
279.0,-4.0,2019-07-03 18:09:00
281.0,-1.0,2019-07-03 18:16:00
283.0,2.0,2019-07-03 18:19:00
285.0,-3.0,2019-07-03 18:23:00
287.0,-3.0,2019-07-03 18:32:00
289.0,-3.0,2019-07-03 18:36:00
291.0,-5.0,2019-07-03 18:41:00
293.0,-3.0,2019-07-03 18:53:00
295.0,-7.0,2019-07-03 18:59:00
297.0,-10.0,2019-07-03 19:05:00
299.0,-5.0,2019-07-03 19:12:00
301.0,-4.0,2019-07-03 19:17:00
303.0,6.0,2019-07-03 19:27:00
305.0,-2.0,2019-07-03 19:28:00
307.0,-1.0,2019-07-03 19:36:00
309.0,3.0,2019-07-03 19:50:00
311.0,15.0,2019-07-03 20:08:00
313.0,-9.0,2019-07-03 20:12:00
315.0,-2.0,2019-07-03 20:21:00
317.0,-9.0,2019-07-03 20:27:00
319.0,-7.0,2019-07-03 20:32:00
321.0,-6.0,2019-07-03 20:35:00
323.0,-3.0,2019-07-03 20:48:00
325.0,-6.0,2019-07-03 20:55:00
327.0,-7.0,2019-07-03 21:01:00
329.0,-4.0,2019-07-03 21:14:00
331.0,-3.0,2019-07-03 21:22:00
333.0,-7.0,2019-07-03 21:26:00
335.0,-4.0,2019-07-03 21:36:00
337.0,0.0,2019-07-03 21:46:00
339.0,-1.0,2019-07-03 21:56:00
341.0,10.0,2019-07-03 22:15:00
343.0,-3.0,2019-07-03 22:19:00
345.0,10.0,2019-07-03 22:33:00
347.0,-12.0,2019-07-03 22:39:00
349.0,-1.0,2019-07-03 22:48:00
351.0,-4.0,2019-07-03 23:03:00
353.0,-5.0,2019-07-03 23:08:00
355.0,3.0,2019-07-03 23:13:00
357.0,-3.0,2019-07-03 23:16:00
359.0,7.0,2019-07-03 23:27:00
361.0,30.0,2019-07-03 23:54:00
363.0,-6.0,2019-07-03 23:55:00
365.0,-6.0,2019-07-04 00:07:00
367.0,1.0,2019-07-04 00:15:00
369.0,1.0,2019-07-04 00:23:00
371.0,-2.0,2019-07-04 00:27:00
373.0,-1.0,2019-07-04 00:35:00
375.0,-2.0,2019-07-04 00:39:00
377.0,-13.0,2019-07-04 00:46:00
379.0,-13.0,2019-07-04 00:52:00
381.0,21.0,2019-07-04 01:07:00
383.0,-6.0,2019-07-04 01:11:00
385.0,5.0,2019-07-04 01:21:00
387.0,-1.0,2019-07-04 01:22:00
389.0,-4.0,2019-07-04 01:30:00
391.0,-7.0,2019-07-04 01:36:00
393.0,-2.0,2019-07-04 01:41:00
395.0,3.0,2019-07-04 01:45:00
397.0,-1.0,2019-07-04 01:47:00
399.0,-4.0,2019-07-04 01:52:00
401.0,-2.0,2019-07-04 02:01:00
403.0,-3.0,2019-07-04 02:13:00
405.0,-4.0,2019-07-04 02:20:00
407.0,-1.0,2019-07-04 02:27:00
409.0,2.0,2019-07-04 02:34:00
411.0,-4.0,2019-07-04 02:36:00
413.0,12.0,2019-07-04 02:58:00
415.0,58.0,2019-07-04 09:29:00
417.0,34.0,2019-07-04 09:40:00
