code,in_time,out_time
000001,2005-04-08,
000002,2005-04-08,
000008,2016-12-12,2018-06-11
000009,2005-04-08,2017-12-11
000012,2005-04-08,2014-12-15
000016,2005-04-08,2006-07-03
000021,2005-04-08,2013-01-04
000024,2005-04-08,2015-12-30
000027,2005-04-08,2012-07-02
000027,2013-07-01,2013-12-16
000027,2014-06-16,2017-06-12
000029,2006-07-03,2008-07-01
000029,2005-04-08,2005-07-01
000031,2005-04-08,2012-01-04
000036,2005-04-08,2009-01-05
000039,2005-04-08,2017-06-12
000046,2007-07-02,2011-07-01
000046,2012-07-02,2014-06-16
000046,2015-06-15,2016-12-12
000059,2005-07-01,2013-12-16
000060,2005-04-08,2018-12-17
000061,2005-04-08,2017-06-12
000063,2005-04-08,
000066,2005-04-08,2008-01-02
000066,2020-06-15,
000068,2005-04-08,2008-01-02
000069,2005-04-08,
000088,2005-04-08,2009-07-01
000089,2005-04-08,2011-01-04
000096,2005-04-08,2006-01-01
000099,2005-07-01,2007-07-02
000100,2009-01-05,
000100,2005-04-08,2007-07-02
000156,2013-07-01,2017-12-11
000157,2005-04-08,
000166,2015-01-26,
000301,2008-03-18,2010-07-01
000333,2013-09-18,
000338,2008-01-02,
000400,2005-04-08,2008-07-01
000400,2013-12-16,2016-06-13
000401,2005-04-08,2015-06-15
000402,2005-04-08,2019-12-16
000406,2005-04-08,2006-04-21
000408,2018-12-17,2019-12-16
000410,2005-04-08,2009-01-05
000413,2014-06-16,2020-06-15
000415,2015-12-14,2020-06-15
000420,2005-04-08,2006-01-01
000422,2006-01-01,2013-12-16
000423,2005-04-08,2007-07-02
000423,2008-01-02,2020-06-15
000425,2005-04-08,
000429,2005-04-08,2006-07-03
000488,2005-04-08,2011-01-04
000498,2005-04-08,2006-01-01
000503,2005-04-08,2009-07-01
000503,2014-06-16,2019-06-17
000507,2005-04-08,2006-07-03
000511,2005-04-08,2006-07-03
000518,2005-04-08,2007-01-04
000520,2005-04-08,2007-07-02
000527,2005-04-08,2013-09-18
000528,2005-04-08,2014-06-16
000532,2005-04-08,2005-07-01
000533,2005-04-08,2006-07-03
000536,2011-07-01,2012-01-04
000536,2013-12-16,2015-06-15
000538,2005-07-01,
000539,2013-07-01,2013-12-16
000539,2005-04-08,2009-07-01
000539,2015-06-15,2016-06-13
000540,2015-12-14,2018-12-17
000541,2005-04-08,2009-01-05
000543,2005-04-08,2006-07-03
000543,2008-01-02,2010-01-04
000550,2005-04-08,2008-07-01
000553,2018-12-17,2019-12-16
000555,2016-12-12,2017-12-11
000559,2011-07-01,2013-07-01
000559,2005-04-08,2010-07-01
000559,2014-12-15,2018-12-17
000562,2005-04-08,2005-07-01
000562,2006-07-03,2015-01-26
000568,2005-04-08,
000571,2005-04-08,2006-07-03
000572,2008-01-02,2009-01-05
000573,2005-04-08,2006-07-03
000581,2005-04-08,2009-01-05
000581,2012-01-04,2016-06-13
000596,2019-06-17,
000596,2013-01-04,2014-06-16
000598,2013-12-16,2016-06-13
000599,2006-01-01,2006-07-19
000601,2005-04-08,2007-07-02
000607,2005-07-01,2007-01-04
000612,2007-07-02,2012-01-04
000612,2005-04-08,2006-01-01
000617,2006-07-03,2008-01-02
000618,2005-07-01,2006-01-01
000623,2009-01-05,2018-12-17
000623,2005-04-08,2008-01-02
000625,2005-04-08,
000627,2016-12-12,
000629,2005-04-08,2010-01-04
000629,2019-06-17,2020-06-15
000629,2012-01-04,2016-06-13
000630,2005-04-08,2020-06-15
000631,2010-01-04,2011-01-04
000636,2005-04-08,2009-01-05
000651,2005-04-08,
000652,2006-01-01,2011-07-01
000656,2019-06-17,
000656,2013-07-01,2014-12-15
000659,2005-04-08,2007-01-04
000661,2018-12-17,
000666,2005-04-08,2006-07-03
000667,2008-07-01,2011-07-01
000671,2016-12-12,
000680,2005-04-08,2013-01-04
000682,2005-04-08,2008-07-01
000685,2009-07-01,2012-01-04
000686,2008-07-01,2018-06-11
000690,2007-07-02,2008-01-02
000690,2009-01-05,2012-01-04
000698,2005-04-08,2007-07-02
000703,2012-07-02,2014-06-16
000703,2018-12-17,
000707,2006-01-01,2007-01-04
000708,2005-04-08,2008-07-01
000708,2020-06-15,
000709,2005-04-08,
000712,2015-06-15,2017-06-12
000717,2005-04-08,2011-01-04
000718,2016-12-12,2017-12-11
000718,2008-01-02,2014-12-15
000723,2017-12-11,2018-12-17
000723,2019-12-16,
000725,2012-07-02,
000725,2010-07-01,2012-01-04
000725,2009-01-05,2010-01-04
000725,2005-04-08,2007-07-02
000726,2005-04-08,2007-01-04
000727,2005-04-08,2006-07-03
000728,2008-07-01,
000729,2005-04-08,2016-12-12
000733,2005-04-08,2007-01-04
000735,2005-04-08,2006-07-03
000737,2005-04-08,2006-07-03
000738,2015-05-20,2018-06-11
000750,2013-01-04,2018-06-11
000751,2007-01-04,2009-01-05
000755,2008-07-01,2009-07-01
000758,2005-04-08,2014-12-15
000761,2008-01-02,2009-01-05
000761,2006-07-03,2007-07-02
000763,2005-04-08,2006-01-01
000767,2005-04-08,2009-07-01
